"","quants",""
"635",0.634,0.300465723249151
"636",0.635,0.301418810625982
"637",0.636,0.302400531646465
"638",0.637,0.303380203424975
"639",0.638,0.30438208854175
"640",0.639,0.30539551786218
"641",0.64,0.306350812463706
"642",0.641,0.307170911640095
"643",0.642,0.308107233256127
"644",0.643,0.309095378973522
"645",0.644,0.310184587212989
"646",0.645,0.311131835428362
"647",0.646,0.312136990508109
"648",0.647,0.313076222932712
"649",0.648,0.313976641108865
"650",0.649,0.315021018298297
"651",0.65,0.315977309414692
"652",0.651,0.316907045642533
"653",0.652,0.317922141698966
"654",0.653,0.318892178553416
"655",0.654,0.31979448545736
"656",0.655,0.320744851415286
"657",0.656,0.321677556639828
"658",0.657,0.322704252553733
"659",0.658,0.32358965003578
"660",0.659,0.324525157423922
"661",0.66,0.325526907243379
"662",0.661,0.326433802389972
"663",0.662,0.32739587329828
"664",0.663,0.328329747371615
"665",0.664,0.329223983121244
"666",0.665,0.330052820062399
"667",0.666,0.331105263449065
"668",0.667,0.332138134914053
"669",0.668,0.332980674097584
"670",0.669,0.333984334270274
"671",0.67,0.334766097790286
"672",0.671,0.335581850421056
"673",0.672,0.336521908836977
"674",0.673,0.337478120919297
"675",0.674,0.338466748822603
"676",0.675,0.339327375273276
"677",0.676,0.340294954442441
"678",0.677,0.341238115828609
"679",0.678,0.341949681897892
"680",0.679,0.342883076110355
"681",0.68,0.343826188274017
"682",0.681,0.344778886719334
"683",0.682,0.345669426255078
"684",0.683,0.346591603820722
"685",0.684,0.347580383363503
"686",0.685,0.348593490276738
"687",0.686,0.349497267816211
"688",0.687,0.350331357753089
"689",0.688,0.351196385044362
"690",0.689,0.352156681708436
"691",0.69,0.353029612393342
"692",0.691,0.353925271663982
"693",0.692,0.354920440694589
"694",0.693,0.355902495841163
"695",0.694,0.356854844005094
"696",0.695,0.357804915557993
"697",0.696,0.358577119898644
"698",0.697,0.359464410013951
"699",0.698,0.360433486695416
"700",0.699,0.361386841617853
"701",0.7,0.362297328485533
"702",0.701,0.363252901924866
"703",0.702,0.364034617142895
"704",0.703,0.364944136806711
"705",0.704,0.36587558996233
"706",0.705,0.366620452022746
"707",0.706,0.367545071138298
"708",0.707,0.368403386273407
"709",0.708,0.369321721536184
"710",0.709,0.370207367556894
"711",0.71,0.371093512335092
"712",0.711,0.371837198129526
"713",0.712,0.372728707365687
"714",0.713,0.373563617786791
"715",0.714,0.374483923941758
"716",0.715,0.375387885461648
"717",0.716,0.376223281341815
"718",0.717,0.37711306485382
"719",0.718,0.378100562466466
"720",0.719,0.378916487940376
"721",0.72,0.379798639853339
"722",0.721,0.380556002788456
"723",0.722,0.38142016181373
"724",0.723,0.382330799589381
"725",0.724,0.383260555612398
"726",0.725,0.384049525271509
"727",0.726,0.384926107870007
"728",0.727,0.385677010988843
"729",0.728,0.386517911781111
"730",0.729,0.387440579745157
"731",0.73,0.388263043774923
"732",0.731,0.389115150123841
"733",0.732,0.389993008377805
"734",0.733,0.390978150430788
"735",0.734,0.391779069180367
"736",0.735,0.392695295472609
"737",0.736,0.393590540066943
"738",0.737,0.394375226224964
"739",0.738,0.395184084751677
"740",0.739,0.396049423180529
"741",0.74,0.396887409964262
"742",0.741,0.397722574101964
"743",0.742,0.398510617481821
"744",0.743,0.399431935197414
"745",0.744,0.400268113532558
"746",0.745,0.401083633222827
"747",0.746,0.401876044177672
"748",0.747,0.402742990870015
"749",0.748,0.403587238994902
"750",0.749,0.404415805609252
"751",0.75,0.40521495692804
"752",0.751,0.405978142382125
"753",0.752,0.40681147884859
"754",0.753,0.407648856537439
"755",0.754,0.408516943128543
"756",0.755,0.40936637999947
"757",0.756,0.410270417956566
"758",0.757,0.41108380688472
"759",0.758,0.412013054570869
"760",0.759,0.412831657813003
"761",0.76,0.413628964291828
"762",0.761,0.414473390083995
"763",0.762,0.415311589641134
"764",0.763,0.416120349983106
"765",0.764,0.416937031297552
"766",0.765,0.417876652904879
"767",0.766,0.418682586844582
"768",0.767,0.419479086049589
"769",0.768,0.420334549451843
"770",0.769,0.421108940158542
"771",0.77,0.421828589167276
"772",0.771,0.422560255829146
"773",0.772,0.423342116862387
"774",0.773,0.424250886378222
"775",0.774,0.424956936144117
"776",0.775,0.425807397991182
"777",0.776,0.426621176597084
"778",0.777,0.427410168315996
"779",0.778,0.428299524579215
"780",0.779,0.429189478618439
"781",0.78,0.430032745746675
"782",0.781,0.430809812468458
"783",0.782,0.431621853816381
"784",0.783,0.432471333761617
"785",0.784,0.433384019032899
"786",0.785,0.43417852249025
"787",0.786,0.435034091344645
"788",0.787,0.435901109767954
"789",0.788,0.436731205393547
"790",0.789,0.437539707572428
"791",0.79,0.43841322490882
"792",0.791,0.439300170551901
"793",0.792,0.440141113189544
"794",0.793,0.440949214687413
"795",0.794,0.441761933216065
"796",0.795,0.442576657181087
"797",0.796,0.443337231347766
"798",0.797,0.444172146219081
"799",0.798,0.444992879259506
"800",0.799,0.445827600993403
"801",0.8,0.446744048008956
"802",0.801,0.447607605007151
"803",0.802,0.448422710017593
"804",0.803,0.449253649857754
"805",0.804,0.449995180919534
"806",0.805,0.450881484774824
"807",0.806,0.451800719511037
"808",0.807,0.452684213515252
"809",0.808,0.453622276519424
"810",0.809,0.454431024454869
"811",0.81,0.4552080319813
"812",0.811,0.456019485690449
"813",0.812,0.456810199087829
"814",0.813,0.4576387044637
"815",0.814,0.458457908645262
"816",0.815,0.459217043451
"817",0.816,0.460006163609776
"818",0.817,0.460955676539103
"819",0.818,0.461690850926113
"820",0.819,0.46255766530083
"821",0.82,0.463406269412538
"822",0.821,0.464249531522789
"823",0.822,0.465058535992166
"824",0.823,0.46584003112648
"825",0.824,0.466703494467225
"826",0.825,0.467537708407177
"827",0.826,0.46836012341484
"828",0.827,0.469116523483495
"829",0.828,0.46990506973976
"830",0.829,0.470705062073682
"831",0.83,0.471495785279836
"832",0.831,0.472356534772059
"833",0.832,0.473058782654802
"834",0.833,0.473935197070072
"835",0.834,0.47473758427745
"836",0.835,0.475593982194613
"837",0.836,0.476508869359287
"838",0.837,0.477418584355234
"839",0.838,0.478337613941128
"840",0.839,0.479092910000578
"841",0.84,0.47998294642715
"842",0.841,0.480745851948171
"843",0.842,0.481597563066916
"844",0.843,0.482468383794714
"845",0.844,0.483263563309378
"846",0.845,0.484100990742105
"847",0.846,0.484934632152305
"848",0.847,0.485810877733723
"849",0.848,0.486660278151325
"850",0.849,0.487426729505992
"851",0.85,0.488295565362438
"852",0.851,0.489154232308561
"853",0.852,0.489928116416299
"854",0.853,0.490720601184819
"855",0.854,0.491478633128704
"856",0.855,0.49233462464756
"857",0.856,0.493176203452089
"858",0.857,0.494011857778263
"859",0.858,0.494884052543153
"860",0.859,0.495653271089925
"861",0.86,0.49648490214899
"862",0.861,0.497271453439013
"863",0.862,0.498240251017373
"864",0.863,0.499036363969264
"865",0.864,0.499856334982528
"866",0.865,0.500678508781545
"867",0.866,0.50149307299124
"868",0.867,0.50229499349832
"869",0.868,0.503161291337712
"870",0.869,0.503940967488899
"871",0.87,0.50485712980496
"872",0.871,0.505682281405665
"873",0.872,0.506369522853362
"874",0.873,0.507132222330285
"875",0.874,0.507964817366181
"876",0.875,0.508806814939756
"877",0.876,0.509667239734794
"878",0.877,0.510494456577306
"879",0.878,0.511329797676811
"880",0.879,0.512138889718383
"881",0.88,0.512963545220988
"882",0.881,0.513913083514418
"883",0.882,0.514776018407069
"884",0.883,0.515572669976948
"885",0.884,0.516500085333153
"886",0.885,0.517302490735703
"887",0.886,0.518104696042666
"888",0.887,0.518961418393424
"889",0.888,0.519779902036763
"890",0.889,0.520614131906285
"891",0.89,0.521387745978562
"892",0.891,0.522258009130791
"893",0.892,0.523205515685809
"894",0.893,0.523983696250563
"895",0.894,0.524750465023656
"896",0.895,0.525609768884688
"897",0.896,0.526434209040999
